accel_id,trip_id,timestamp,elapsed_seconds,acc_x_m_s2,acc_y_m_s2,acc_z_m_s2,accel_mag_m_s2,speed_kmh,event_label
ACC_TRIP002_00068,TRIP222,2024-02-06T07:16:08Z,68,-0.056,0.389,9.694,9.702,16.42,normal
ACC_TRIP002_00069,TRIP222,2024-02-06T07:16:09Z,69,-0.085,-0.278,9.839,9.844,16.0,normal
ACC_TRIP002_00070,TRIP222,2024-02-06T07:16:10Z,70,0.119,0.267,9.69,9.694,19.62,normal
ACC_TRIP002_00071,TRIP222,2024-02-06T07:16:11Z,71,-0.066,0.216,9.859,9.862,19.06,normal
ACC_TRIP002_00072,TRIP222,2024-02-06T07:16:12Z,72,-0.451,0.023,9.775,9.786,22.54,normal
ACC_TRIP002_00073,TRIP222,2024-02-06T07:16:13Z,73,-0.093,0.295,9.993,9.998,24.02,normal
ACC_TRIP002_00074,TRIP222,2024-02-06T07:16:14Z,74,0.489,0.14,9.647,9.66,27.27,normal
ACC_TRIP002_00075,TRIP222,2024-02-06T07:16:15Z,75,0.005,0.406,9.847,9.856,27.61,normal
ACC_TRIP002_00076,TRIP222,2024-02-06T07:16:16Z,76,0.287,0.099,9.849,9.853,27.97,normal
ACC_TRIP002_00077,TRIP222,2024-02-06T07:16:17Z,77,-0.159,-0.093,9.704,9.706,30.22,normal
ACC_TRIP002_00078,TRIP222,2024-02-06T07:16:18Z,78,-0.01,-0.072,9.813,9.813,31.25,normal
ACC_TRIP002_00079,TRIP222,2024-02-06T07:16:19Z,79,0.235,-0.115,9.729,9.732,31.9,normal
ACC_TRIP002_00080,TRIP222,2024-02-06T07:16:20Z,80,-0.18,0.219,10.038,10.042,33.51,normal
ACC_TRIP002_00081,TRIP222,2024-02-06T07:16:21Z,81,-0.086,0.179,9.777,9.779,33.28,normal
ACC_TRIP002_00082,TRIP222,2024-02-06T07:16:22Z,82,-0.364,-0.13,9.854,9.861,32.33,normal
ACC_TRIP002_00083,TRIP222,2024-02-06T07:16:23Z,83,-0.051,0.081,9.78,9.78,29.85,normal
ACC_TRIP002_00084,TRIP222,2024-02-06T07:16:24Z,84,-0.206,-0.151,9.84,9.844,30.73,normal
ACC_TRIP002_00085,TRIP222,2024-02-06T07:16:25Z,85,-0.207,-0.616,9.713,9.734,30.65,normal
ACC_TRIP002_00086,TRIP222,2024-02-06T07:16:26Z,86,-0.236,-0.076,9.703,9.706,30.45,normal
ACC_TRIP002_00087,TRIP222,2024-02-06T07:16:27Z,87,-0.212,0.353,9.886,9.895,29.67,normal
ACC_TRIP002_00088,TRIP222,2024-02-06T07:16:28Z,88,0.48,-0.171,9.722,9.735,31.13,normal
ACC_TRIP002_00089,TRIP222,2024-02-06T07:16:29Z,89,0.086,0.037,9.78,9.781,30.99,normal
ACC_TRIP002_00090,TRIP222,2024-02-06T07:16:30Z,90,-0.009,-0.193,9.978,9.979,29.92,normal
ACC_TRIP002_00091,TRIP222,2024-02-06T07:16:31Z,91,-0.162,0.45,9.822,9.834,29.17,normal
ACC_TRIP002_00092,TRIP222,2024-02-06T07:16:32Z,92,0.342,0.244,9.751,9.761,27.47,normal
ACC_TRIP002_00093,TRIP222,2024-02-06T07:16:33Z,93,-0.337,0.491,9.858,9.876,27.39,normal
ACC_TRIP002_00094,TRIP222,2024-02-06T07:16:34Z,94,-0.378,0.368,9.928,9.942,25.85,normal
ACC_TRIP002_00095,TRIP222,2024-02-06T07:16:35Z,95,-0.132,0.269,9.774,9.779,27.91,normal
ACC_TRIP002_00096,TRIP222,2024-02-06T07:16:36Z,96,-0.105,-0.241,9.881,9.885,29.57,normal
ACC_TRIP002_00097,TRIP222,2024-02-06T07:16:37Z,97,-0.202,-0.503,9.769,9.784,27.01,normal
ACC_TRIP002_00098,TRIP222,2024-02-06T07:16:38Z,98,-0.416,-0.187,10.022,10.033,28.27,normal
ACC_TRIP002_00099,TRIP222,2024-02-06T07:16:39Z,99,-0.211,-0.652,9.611,9.635,28.08,normal
ACC_TRIP002_00100,TRIP222,2024-02-06T07:16:40Z,100,-0.28,-0.061,9.843,9.848,28.0,normal
ACC_TRIP002_00101,TRIP222,2024-02-06T07:16:41Z,101,0.323,0.107,9.829,9.835,25.89,normal
ACC_TRIP002_00102,TRIP222,2024-02-06T07:16:42Z,102,-0.02,-0.32,9.768,9.773,27.77,normal
ACC_TRIP002_00103,TRIP222,2024-02-06T07:16:43Z,103,-0.255,-0.211,9.808,9.813,27.33,normal
ACC_TRIP002_00104,TRIP222,2024-02-06T07:16:44Z,104,-0.319,0.074,9.775,9.78,27.83,normal
ACC_TRIP002_00105,TRIP222,2024-02-06T07:16:45Z,105,0.038,0.193,9.717,9.719,28.4,normal
ACC_TRIP002_00106,TRIP222,2024-02-06T07:16:46Z,106,-0.025,0.234,9.743,9.746,29.77,normal
ACC_TRIP002_00107,TRIP222,2024-02-06T07:16:47Z,107,-0.356,0.048,9.804,9.811,28.8,normal
ACC_TRIP002_00108,TRIP222,2024-02-06T07:16:48Z,108,-0.084,0.014,9.857,9.857,28.47,normal
ACC_TRIP002_00109,TRIP222,2024-02-06T07:16:49Z,109,0.725,-0.441,9.819,9.855,26.25,normal
ACC_TRIP002_00110,TRIP222,2024-02-06T07:16:50Z,110,0.083,0.574,9.856,9.873,22.93,normal
ACC_TRIP002_00111,TRIP222,2024-02-06T07:16:51Z,111,0.113,0.129,9.859,9.861,20.73,normal
ACC_TRIP002_00112,TRIP222,2024-02-06T07:16:52Z,112,0.353,-0.314,9.76,9.771,23.37,normal
ACC_TRIP002_00113,TRIP222,2024-02-06T07:16:53Z,113,-0.037,0.109,9.665,9.666,23.83,normal
ACC_TRIP002_00114,TRIP222,2024-02-06T07:16:54Z,114,0.11,0.35,9.826,9.832,25.68,normal
ACC_TRIP002_00115,TRIP222,2024-02-06T07:16:55Z,115,0.289,-0.048,9.942,9.946,26.74,normal
ACC_TRIP002_00116,TRIP222,2024-02-06T07:16:56Z,116,0.743,0.066,9.71,9.739,27.21,normal
ACC_TRIP002_00117,TRIP222,2024-02-06T07:16:57Z,117,-0.21,0.321,9.695,9.702,29.04,normal
ACC_TRIP002_00118,TRIP222,2024-02-06T07:16:58Z,118,0.055,-0.032,9.903,9.903,29.62,normal
ACC_TRIP002_00119,TRIP222,2024-02-06T07:16:59Z,119,0.029,-0.322,9.9,9.905,29.7,normal
ACC_TRIP002_00120,TRIP222,2024-02-06T07:17:00Z,120,0.079,-0.02,9.73,9.731,29.11,normal
ACC_TRIP002_00121,TRIP222,2024-02-06T07:17:01Z,121,0.22,-0.071,9.726,9.728,28.98,normal
ACC_TRIP002_00122,TRIP222,2024-02-06T07:17:02Z,122,0.422,-0.01,9.903,9.912,28.09,normal
ACC_TRIP002_00123,TRIP222,2024-02-06T07:17:03Z,123,-0.21,0.659,9.829,9.854,30.47,normal
ACC_TRIP002_00124,TRIP222,2024-02-06T07:17:04Z,124,-0.136,-0.128,9.931,9.933,30.59,normal
ACC_TRIP002_00125,TRIP222,2024-02-06T07:17:05Z,125,-0.066,0.121,9.892,9.892,29.59,normal
ACC_TRIP002_00126,TRIP222,2024-02-06T07:17:06Z,126,-0.215,0.061,9.774,9.777,28.53,normal
ACC_TRIP002_00127,TRIP222,2024-02-06T07:17:07Z,127,0.263,0.365,10.073,10.083,28.69,normal
ACC_TRIP002_00128,TRIP222,2024-02-06T07:17:08Z,128,0.054,0.028,9.768,9.768,30.73,normal
ACC_TRIP002_00129,TRIP222,2024-02-06T07:17:09Z,129,-0.244,0.212,9.958,9.963,30.03,normal
ACC_TRIP002_00130,TRIP222,2024-02-06T07:17:10Z,130,0.195,0.132,9.727,9.73,31.0,normal
ACC_TRIP002_00131,TRIP222,2024-02-06T07:17:11Z,131,-0.361,-0.253,9.61,9.62,30.29,normal
ACC_TRIP002_00132,TRIP222,2024-02-06T07:17:12Z,132,-0.262,-0.307,9.683,9.691,28.3,normal
ACC_TRIP002_00133,TRIP222,2024-02-06T07:17:13Z,133,-0.21,0.27,9.883,9.889,29.46,normal
ACC_TRIP002_00134,TRIP222,2024-02-06T07:17:14Z,134,0.948,0.283,9.942,9.991,31.19,normal
ACC_TRIP002_00135,TRIP222,2024-02-06T07:17:15Z,135,0.022,0.161,9.868,9.869,30.72,normal
ACC_TRIP002_00136,TRIP222,2024-02-06T07:17:16Z,136,-0.741,0.106,9.455,9.485,31.02,normal
ACC_TRIP002_00137,TRIP222,2024-02-06T07:17:17Z,137,0.318,0.294,9.619,9.629,28.8,normal
ACC_TRIP002_00138,TRIP222,2024-02-06T07:17:18Z,138,0.265,-0.23,9.675,9.682,26.34,normal
ACC_TRIP002_00139,TRIP222,2024-02-06T07:17:19Z,139,-0.226,0.518,9.778,9.794,26.3,normal
ACC_TRIP002_00140,TRIP222,2024-02-06T07:17:20Z,140,0.019,0.155,9.99,9.991,24.76,normal
ACC_TRIP002_00141,TRIP222,2024-02-06T07:17:21Z,141,-0.073,-0.183,9.803,9.805,24.15,normal
ACC_TRIP002_00142,TRIP222,2024-02-06T07:17:22Z,142,-0.301,0.366,10.012,10.023,22.08,normal
ACC_TRIP002_00143,TRIP222,2024-02-06T07:17:23Z,143,0.535,-0.572,9.983,10.014,23.92,normal
ACC_TRIP002_00144,TRIP222,2024-02-06T07:17:24Z,144,-0.148,0.401,9.933,9.942,23.68,normal
ACC_TRIP002_00145,TRIP222,2024-02-06T07:17:25Z,145,-0.135,-0.048,9.699,9.7,24.01,normal
ACC_TRIP002_00146,TRIP222,2024-02-06T07:17:26Z,146,0.079,-0.086,9.775,9.776,23.14,normal
ACC_TRIP002_00147,TRIP222,2024-02-06T07:17:27Z,147,-0.185,-0.204,9.886,9.89,21.58,normal
ACC_TRIP002_00148,TRIP222,2024-02-06T07:17:28Z,148,0.189,0.163,9.781,9.784,21.9,normal
ACC_TRIP002_00149,TRIP222,2024-02-06T07:17:29Z,149,-0.33,0.25,9.738,9.747,23.02,normal
ACC_TRIP002_00150,TRIP222,2024-02-06T07:17:30Z,150,0.489,-0.379,9.696,9.716,24.79,normal
ACC_TRIP002_00151,TRIP222,2024-02-06T07:17:31Z,151,-0.067,-0.637,9.834,9.855,25.35,normal
ACC_TRIP002_00152,TRIP222,2024-02-06T07:17:32Z,152,-0.38,-0.154,9.938,9.946,24.57,normal
ACC_TRIP002_00153,TRIP222,2024-02-06T07:17:33Z,153,0.152,-0.084,9.733,9.735,26.12,normal
ACC_TRIP002_00154,TRIP222,2024-02-06T07:17:34Z,154,0.226,0.101,9.615,9.618,25.35,normal
ACC_TRIP002_00155,TRIP222,2024-02-06T07:17:35Z,155,0.081,-0.213,9.833,9.835,26.05,normal
ACC_TRIP002_00156,TRIP222,2024-02-06T07:17:36Z,156,-0.655,0.006,9.964,9.986,25.79,normal
ACC_TRIP002_00157,TRIP222,2024-02-06T07:17:37Z,157,-0.327,-0.564,9.935,9.956,23.38,normal
ACC_TRIP002_00158,TRIP222,2024-02-06T07:17:38Z,158,-0.242,1.118,9.774,9.84,21.76,normal
ACC_TRIP002_00159,TRIP222,2024-02-06T07:17:39Z,159,-0.229,-0.238,9.775,9.781,23.2,normal
ACC_TRIP002_00160,TRIP222,2024-02-06T07:17:40Z,160,0.341,0.5,9.842,9.86,23.75,normal
ACC_TRIP002_00161,TRIP222,2024-02-06T07:17:41Z,161,0.297,0.073,9.765,9.77,26.61,normal
ACC_TRIP002_00162,TRIP222,2024-02-06T07:17:42Z,162,0.17,-0.295,9.817,9.823,27.3,normal
ACC_TRIP002_00163,TRIP222,2024-02-06T07:17:43Z,163,-0.188,-0.143,9.824,9.827,28.21,normal
ACC_TRIP002_00164,TRIP222,2024-02-06T07:17:44Z,164,0.756,-0.06,9.845,9.874,26.34,normal
ACC_TRIP002_00165,TRIP222,2024-02-06T07:17:45Z,165,0.269,-0.114,9.737,9.741,26.77,normal
ACC_TRIP002_00166,TRIP222,2024-02-06T07:17:46Z,166,-0.286,0.363,9.708,9.719,25.7,normal
ACC_TRIP002_00167,TRIP222,2024-02-06T07:17:47Z,167,-0.35,-0.104,9.815,9.822,29.24,normal
ACC_TRIP002_00168,TRIP222,2024-02-06T07:17:48Z,168,0.052,-0.168,9.846,9.848,28.82,normal
ACC_TRIP002_00169,TRIP222,2024-02-06T07:17:49Z,169,-0.196,0.33,9.722,9.73,29.7,normal
ACC_TRIP002_00170,TRIP222,2024-02-06T07:17:50Z,170,-0.196,0.092,9.786,9.788,30.95,normal
ACC_TRIP002_00171,TRIP222,2024-02-06T07:17:51Z,171,-0.167,-0.222,9.821,9.825,30.29,normal
ACC_TRIP002_00172,TRIP222,2024-02-06T07:17:52Z,172,0.205,-0.49,9.822,9.836,29.47,normal
ACC_TRIP002_00173,TRIP222,2024-02-06T07:17:53Z,173,-0.02,0.205,9.809,9.812,30.97,normal
ACC_TRIP002_00174,TRIP222,2024-02-06T07:17:54Z,174,-0.002,0.127,9.791,9.792,28.58,normal
ACC_TRIP002_00175,TRIP222,2024-02-06T07:17:55Z,175,0.144,0.068,9.773,9.774,28.55,normal
ACC_TRIP002_00176,TRIP222,2024-02-06T07:17:56Z,176,0.19,-0.002,9.85,9.852,28.16,normal
ACC_TRIP002_00177,TRIP222,2024-02-06T07:17:57Z,177,-0.208,0.302,9.812,9.819,29.34,normal
ACC_TRIP002_00178,TRIP222,2024-02-06T07:17:58Z,178,-0.242,-0.066,9.721,9.725,29.75,normal
ACC_TRIP002_00179,TRIP222,2024-02-06T07:17:59Z,179,-0.214,-0.069,9.867,9.87,29.81,normal
ACC_TRIP002_00180,TRIP222,2024-02-06T07:18:00Z,180,0.5,-0.199,9.76,9.774,32.44,normal
ACC_TRIP002_00181,TRIP222,2024-02-06T07:18:01Z,181,-0.169,0.22,9.752,9.756,31.41,normal
ACC_TRIP002_00182,TRIP222,2024-02-06T07:18:02Z,182,0.157,-0.302,9.856,9.862,32.17,normal
ACC_TRIP002_00183,TRIP222,2024-02-06T07:18:03Z,183,-0.008,-0.644,9.766,9.787,34.89,normal
ACC_TRIP002_00184,TRIP222,2024-02-06T07:18:04Z,184,0.403,-0.189,10.059,10.069,33.29,normal
ACC_TRIP002_00185,TRIP222,2024-02-06T07:18:05Z,185,-0.415,0.377,9.793,9.809,32.92,normal
ACC_TRIP002_00186,TRIP222,2024-02-06T07:18:06Z,186,-0.089,0.157,9.97,9.972,32.02,normal
ACC_TRIP002_00187,TRIP222,2024-02-06T07:18:07Z,187,-0.524,-0.137,9.932,9.947,32.89,normal
ACC_TRIP002_00188,TRIP222,2024-02-06T07:18:08Z,188,0.315,-0.227,9.793,9.8,32.1,normal
ACC_TRIP002_00189,TRIP222,2024-02-06T07:18:09Z,189,-0.183,-0.258,9.97,9.975,35.17,normal
ACC_TRIP002_00190,TRIP222,2024-02-06T07:18:10Z,190,-0.362,0.143,9.765,9.773,35.58,normal
ACC_TRIP002_00191,TRIP222,2024-02-06T07:18:11Z,191,-0.294,0.577,9.897,9.918,37.08,normal
ACC_TRIP002_00192,TRIP222,2024-02-06T07:18:12Z,192,0.025,-0.241,9.675,9.678,38.57,normal
ACC_TRIP002_00193,TRIP222,2024-02-06T07:18:13Z,193,-0.389,0.013,9.793,9.801,37.89,normal
ACC_TRIP002_00194,TRIP222,2024-02-06T07:18:14Z,194,-0.107,-0.525,9.767,9.782,35.66,normal
ACC_TRIP002_00195,TRIP222,2024-02-06T07:18:15Z,195,-0.188,0.019,9.764,9.766,35.23,normal
ACC_TRIP002_00196,TRIP222,2024-02-06T07:18:16Z,196,-0.238,0.056,9.968,9.971,36.86,normal
ACC_TRIP002_00197,TRIP222,2024-02-06T07:18:17Z,197,-0.194,0.403,9.864,9.874,36.42,normal
ACC_TRIP002_00198,TRIP222,2024-02-06T07:18:18Z,198,-0.007,0.363,9.866,9.872,35.39,normal
ACC_TRIP002_00199,TRIP222,2024-02-06T07:18:19Z,199,-0.049,-0.654,9.765,9.787,33.53,normal
ACC_TRIP002_00200,TRIP222,2024-02-06T07:18:20Z,200,-0.431,-0.218,9.841,9.853,35.28,normal
ACC_TRIP002_00201,TRIP222,2024-02-06T07:18:21Z,201,-0.176,0.787,9.846,9.879,35.32,normal
ACC_TRIP002_00202,TRIP222,2024-02-06T07:18:22Z,202,-0.222,0.213,9.865,9.87,33.86,normal
ACC_TRIP002_00203,TRIP222,2024-02-06T07:18:23Z,203,-0.108,-0.119,9.946,9.948,33.96,normal
ACC_TRIP002_00204,TRIP222,2024-02-06T07:18:24Z,204,-0.427,-0.028,9.898,9.907,33.9,normal
ACC_TRIP002_00205,TRIP222,2024-02-06T07:18:25Z,205,-0.365,0.102,9.805,9.812,34.41,normal
ACC_TRIP002_00206,TRIP222,2024-02-06T07:18:26Z,206,0.136,-0.123,9.819,9.82,37.92,normal
ACC_TRIP002_00207,TRIP222,2024-02-06T07:18:27Z,207,0.075,0.064,9.855,9.855,38.34,normal
ACC_TRIP002_00208,TRIP222,2024-02-06T07:18:28Z,208,0.293,-0.147,9.609,9.615,41.19,normal
ACC_TRIP002_00209,TRIP222,2024-02-06T07:18:29Z,209,0.146,-0.018,9.683,9.684,40.2,normal
ACC_TRIP002_00210,TRIP222,2024-02-06T07:18:30Z,210,-0.141,-0.023,9.739,9.74,38.82,normal
ACC_TRIP002_00211,TRIP222,2024-02-06T07:18:31Z,211,-0.541,-0.001,9.84,9.855,38.71,normal
ACC_TRIP002_00212,TRIP222,2024-02-06T07:18:32Z,212,-0.197,0.16,9.902,9.906,37.34,normal
ACC_TRIP002_00213,TRIP222,2024-02-06T07:18:33Z,213,0.092,0.246,9.919,9.922,37.79,normal
ACC_TRIP002_00214,TRIP222,2024-02-06T07:18:34Z,214,0.017,-0.036,9.852,9.852,36.74,normal
ACC_TRIP002_00215,TRIP222,2024-02-06T07:18:35Z,215,-0.235,-0.076,9.877,9.88,36.6,normal
ACC_TRIP002_00216,TRIP222,2024-02-06T07:18:36Z,216,-0.106,0.38,9.832,9.84,36.25,normal
ACC_TRIP002_00217,TRIP222,2024-02-06T07:18:37Z,217,-0.21,-0.038,9.709,9.711,38.8,normal
ACC_TRIP002_00218,TRIP222,2024-02-06T07:18:38Z,218,0.303,-0.152,9.86,9.866,40.55,normal
ACC_TRIP002_00219,TRIP222,2024-02-06T07:18:39Z,219,0.218,0.081,9.895,9.897,38.62,normal
ACC_TRIP002_00220,TRIP222,2024-02-06T07:18:40Z,220,-0.162,-0.385,9.739,9.748,38.25,normal
ACC_TRIP002_00221,TRIP222,2024-02-06T07:18:41Z,221,0.235,0.213,9.933,9.938,38.42,normal
ACC_TRIP002_00222,TRIP222,2024-02-06T07:18:42Z,222,0.276,-0.153,9.827,9.832,39.23,normal
ACC_TRIP002_00223,TRIP222,2024-02-06T07:18:43Z,223,0.06,-0.248,9.731,9.735,39.67,normal
ACC_TRIP002_00224,TRIP222,2024-02-06T07:18:44Z,224,-0.452,-0.106,9.776,9.787,39.25,normal
ACC_TRIP002_00225,TRIP222,2024-02-06T07:18:45Z,225,0.466,0.443,9.873,9.893,40.96,normal
ACC_TRIP002_00226,TRIP222,2024-02-06T07:18:46Z,226,0.089,-0.304,9.8,9.805,44.2,normal
ACC_TRIP002_00227,TRIP222,2024-02-06T07:18:47Z,227,0.254,0.466,9.774,9.789,44.06,normal
ACC_TRIP002_00228,TRIP222,2024-02-06T07:18:48Z,228,0.157,-0.566,9.792,9.809,42.93,normal
ACC_TRIP002_00229,TRIP222,2024-02-06T07:18:49Z,229,0.375,0.254,9.855,9.865,42.41,normal
